date,docket,case_name,justice,pdf_url,word_count,page_count,dissent_mentions,concurrence_mentions,first_amend_mentions,fourth_amend_mentions,fifth_amend_mentions,sixth_amend_mentions,eigth_amend_mentions
7/14/20,20A8,Barr v. Lee,PC,https://www.supremecourt.gov/opinions/19pdf/591us2r63_1bn2.pdf,2572,9,16,0,0,0,0,0,8
7/09/20,17-1107,Sharp v. Murphy,PC,https://www.supremecourt.gov/opinions/19pdf/591us2r62_9o6b.pdf,662,3,1,0,0,0,0,0,0
7/09/20,18-9526,McGirt v. Oklahoma,NG,https://www.supremecourt.gov/opinions/19pdf/591us2r61_c0nd.pdf,29833,84,98,0,0,0,0,0,0
7/09/20,19-715,"Trump v. Mazars USA, LLP",R,https://www.supremecourt.gov/opinions/19pdf/591us2r60_lkgm.pdf,15165,47,39,5,0,1,1,0,0
7/09/20,19-635,Trump v. Vance,R,https://www.supremecourt.gov/opinions/19pdf/591us2r59_g3bi.pdf,22304,63,47,9,0,0,0,3,0
7/08/20,19-267,Our Lady of Guadalupe School v. Morrissey-Berru,A,https://www.supremecourt.gov/opinions/19pdf/591us2r58_e18f.pdf,18918,55,41,19,17,0,0,0,0
7/08/20,19-431,Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania,T,https://www.supremecourt.gov/opinions/19pdf/591us2r57_e2p3.pdf,26161,76,60,39,6,0,0,0,0
7/06/20,19-518,Colorado Dept. of State v. Baca,PC,https://www.supremecourt.gov/opinions/19pdf/591us2r56_3d46.pdf,835,3,0,1,0,0,0,0,0
7/06/20,19-631,"Barr v. American Assn. of Political Consultants, Inc.",BK,https://www.supremecourt.gov/opinions/19pdf/591us2r55_08m1.pdf,15259,46,14,28,46,0,0,0,0
7/06/20,19-465,Chiafalo v. Washington,EK,https://www.supremecourt.gov/opinions/19pdf/591us2r54_2c8f.pdf,11253,33,13,18,0,0,0,0,0
6/30/20,19-46,Patent and Trademark Office v. Booking.com B. V.,G,https://www.supremecourt.gov/opinions/19pdf/591us2r53_8n5a.pdf,9861,30,26,7,0,0,0,0,0
6/30/20,18-1195,Espinoza v. Montana Dept. of Revenue,R,https://www.supremecourt.gov/opinions/19pdf/591us2r52_i426.pdf,29243,86,95,76,24,0,0,1,0
6/29/20,19-177,Agency for Int’l Development v. Alliance for Open Society,BK,https://www.supremecourt.gov/opinions/19pdf/591us1r51_6khn.pdf,11083,35,31,4,80,2,1,1,0
6/29/20,18-1323,June Medical Services L. L. C. v. Russo,B,https://www.supremecourt.gov/opinions/19pdf/591us1r50_q861.pdf,46094,132,133,72,4,0,0,1,0
6/29/20,19-7,Seila Law LLC v. Consumer Financial Protection Bureau,R,https://www.supremecourt.gov/opinions/19pdf/591us1r49_6kg7.pdf,35876,103,54,23,0,0,0,0,0
6/25/20,19-161,Department of Homeland Security v. Thuraissigiam,A,https://www.supremecourt.gov/opinions/19pdf/591us1r48_9o6b.pdf,34008,95,69,45,0,0,2,0,0
6/22/20,18-1501,Liu v. SEC,SS,https://www.supremecourt.gov/opinions/19pdf/591us1r47_o759.pdf,11277,33,20,6,0,0,0,0,0
6/18/20,18-587,Department of Homeland Security v. Regents of Univ. of Cal.,R,https://www.supremecourt.gov/opinions/19pdf/591us1r46_1o23.pdf,24032,71,29,21,0,0,4,0,0
8/26/21,21A23,Alabama Assn. of Realtors v. Department of Health and Human Servs.,PC,https://www.supremecourt.gov/opinions/20pdf/594us2r68_b97d.pdf,5040,17,11,4,0,0,0,0,0
7/02/21,20-1084,Dunn v. Reeves,PC,https://www.supremecourt.gov/opinions/20pdf/594us2r67_k537.pdf,9576,28,28,0,0,0,0,0,0
7/01/21,19-1257,Brnovich v. Democratic National Committee,A,https://www.supremecourt.gov/opinions/20pdf/594us2r66_5468.pdf,30995,85,99,6,0,0,0,0,0
7/01/21,19-251,Americans for Prosperity Foundation v. Bonta,R,https://www.supremecourt.gov/opinions/20pdf/594us2r65_2co3.pdf,17976,53,46,18,56,0,0,0,0
6/29/21,20-440,"Minerva Surgical, Inc. v. Hologic, Inc.",EK,https://www.supremecourt.gov/opinions/20pdf/594us2r64_anbf.pdf,13123,37,47,0,0,0,0,0,0
6/29/21,19-897,Johnson v. Guzman Chavez,A,https://www.supremecourt.gov/opinions/20pdf/594us2r63_4f15.pdf,12192,37,24,7,0,0,0,0,0
6/29/21,19-1039,PennEast Pipeline Co. v. New Jersey,R,https://www.supremecourt.gov/opinions/20pdf/594us2r62_19m1.pdf,14292,42,38,3,0,0,3,0,0
6/28/21,20-1212,Pakdel v. City and County of San Francisco,PC,https://www.supremecourt.gov/opinions/20pdf/594us2r61_7m58.pdf,2752,9,3,0,0,0,4,0,0
6/28/21,20-391,Lombardo v. St. Louis,PC,https://www.supremecourt.gov/opinions/20pdf/594us2r60_2c83.pdf,3478,11,8,0,0,0,0,0,0
6/25/21,20-297,TransUnion LLC v. Ramirez,BK,https://www.supremecourt.gov/opinions/20pdf/594us2r59_197d.pdf,18288,52,45,12,1,0,0,0,0
6/25/21,20-472,"HollyFrontier Cheyenne Refining, LLC v. Renewable Fuels Assn.",NG,https://www.supremecourt.gov/opinions/20pdf/594us2r58_6537.pdf,10580,32,33,0,0,0,0,0,0
6/25/21,20-543,Yellen v. Confederated Tribes of Chehalis Reservation,SS,https://www.supremecourt.gov/opinions/20pdf/594us2r57_4357.pdf,15360,45,22,2,0,0,0,0,0
6/23/21,20-18,Lange v. California,EK,https://www.supremecourt.gov/opinions/20pdf/594us1r56_7k47.pdf,15654,44,3,49,0,33,0,0,0
6/23/21,19-422,Collins v. Yellen,A,https://www.supremecourt.gov/opinions/20pdf/594us1r55_5468.pdf,26526,76,24,49,0,1,0,0,0
